,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
A Simple Favor,23892,"[53, 80, 9648, 35, 18]",484247,en,21.121,2018-09-14,6.6,1756,tt7040874,A Simple Favor,2018.0,117.0,Comedy,Crime,Drama,24,"Sep 14, 2018",20000000,53548586,97628717,9
A Street Cat Named Bob,17805,"[18, 10751, 35]",404378,en,7.12,2016-11-18,7.5,500,tt3606888,A Street Cat Named Bob,2016.0,103.0,Biography,Comedy,Drama,31,"Nov 18, 2016",8000000,82703,17382693,11
A Thousand Words,5399,"[18, 35]",72358,en,8.017000000000001,2012-03-08,6.1,685,tt0763831,A Thousand Words,2012.0,91.0,Comedy,Drama,,1,"Mar 9, 2012",40000000,18450127,20790486,3
A Walk Among the Tombstones,11053,"[80, 18, 9648, 53]",169917,en,19.373,2014-09-19,6.3,1685,tt0365907,A Walk Among the Tombstones,2014.0,114.0,Action,Crime,Drama,67,"Sep 19, 2014",28000000,26017685,62108587,9
A Walk in the Woods,14543,"[12, 35, 18]",232572,en,6.935,2015-09-02,5.9,402,tt1178665,A Walk in the Woods,2015.0,104.0,Adventure,Biography,Comedy,75,"Sep 2, 2015",8000000,29499394,37119358,9
A Wrinkle in Time,24051,"[12, 878, 10751, 14]",407451,en,12.529000000000002,2018-03-09,5.0,1073,tt1620680,A Wrinkle in Time,2018.0,109.0,Adventure,Family,Fantasy,58,"Mar 9, 2018",103000000,100478608,133401882,3
AWOL-72,14851,[53],342502,en,4.2,2015-08-07,3.8,22,tt2048865,AWOL-72,2015.0,82.0,Action,Thriller,,65,"Dec 31, 2015",3000000,0,0,8
Abduction,2487,"[53, 28, 9648]",59965,en,17.69,2011-09-23,5.8,1791,tt1600195,Abduction,2011.0,106.0,Action,Mystery,Thriller,96,"Sep 23, 2011",35000000,28087155,86648359,9
Abduction,2487,"[53, 28, 9648]",59965,en,17.69,2011-09-23,5.8,1791,tt2335176,Abduction,2013.0,86.18724706088021,Drama,,,96,"Sep 23, 2011",35000000,28087155,86648359,9
Abduction,2487,"[53, 28, 9648]",59965,en,17.69,2011-09-23,5.8,1791,tt2447982,Abduction,2011.0,84.0,Horror,Thriller,,96,"Sep 23, 2011",35000000,28087155,86648359,9
